"category","avg_rating","total_reviews"
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans","3.95","2"
"Computers&Accessories|Accessories&Peripherals|USBHubs","3.94","5"
"Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps","3.94","5"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums","3.94","7"
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories","3.92","11"
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles","3.91","9"
"Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts","3.9","2"
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables","3.9","1"
"Home&Kitchen|CraftMaterials|Scrapbooking|Tape","3.9","1"
"Electronics|Headphones,Earbuds&Accessories|Adapters","3.9","2"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines","3.9","1"
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","3.9","52"
"Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems","3.9","1"
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters","3.9","2"
"MusicalInstruments|Microphones|Condenser","3.9","2"
"Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies","3.9","1"
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters","3.89","20"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders","3.89","12"
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters","3.81","20"
"Electronics|Headphones,Earbuds&Accessories|Earpads","3.8","1"
"Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes","3.8","1"
"Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers","3.8","1"
"Computers&Accessories|NetworkingDevices|DataCards&Dongles","3.8","1"
"Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers","3.8","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders","3.8","2"
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls","3.8","49"
"Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods","3.8","1"
"Electronics|HomeAudio|Speakers|TowerSpeakers","3.8","1"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers","3.73","3"
"Electronics|Cameras&Photography|VideoCameras","3.7","1"
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors","3.7","2"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers","3.7","2"
"Computers&Accessories|Printers,Inks&Accessories|Printers","3.67","3"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers","3.67","7"
"Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines","3.65","4"
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters","3.6","2"
"Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones","3.6","2"
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters","3.6","2"
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses","3.5","1"
"Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets","3.5","1"
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers","3.4","2"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders","3.3","1"
